stock_code,num_sheets,sheet_names,is_same_sheets,corp_code,corp_name,modify_date,sector,product,corp_cls,market_type
172670,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,493325,에이엘티,20230727,반도체 제조업,반도체 테스트 및 패키징(반도체 후공정),K,KOSDAQ
039860,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,230425,나노엔텍,20221202,의료용 기기 제조업,의료기기 및 실험기기,K,KOSDAQ
405920,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1021639,나라셀라,20230919,음·식료품 및 담배 도매업,와인 도소매,K,KOSDAQ
011280,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,153524,태림포장,20220120,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",Y,KOSPI
056730,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,318662,CNT85,20240502,건물 건설업,산업설비 제조외,K,KOSDAQ
052020,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,273110,에스티큐브,20221205,기계장비 및 관련 물품 도매업,"전자부품, 정보통신기기, 지능형로봇외",K,KOSDAQ
369370,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1508855,블리츠웨이스튜디오,20240430,"인형,장난감 및 오락용품 제조업",피규어 제조 및 판매,K,KOSDAQ
006390,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,164672,한일현대시멘트,20220224,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스",Y,KOSPI
009770,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,128227,삼정펄프,20231130,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",Y,KOSPI
023600,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,125938,삼보판지,20211207,"펄프, 종이 및 판지 제조업","골판지,골판지상자",K,KOSDAQ
